Augmented state vector at time 0.02200: 6.8396158217 , 2.7359749026 , 1.6499625148 , 0.8391182657 , 0.8382354288 , 0.0527473218 , 0.3081039377 , 1.1140426225 , 0.1769888518 , -0.0293951124 , -0.1780963721 , 0.9003038694
Augmented state vector at time 0.02300: 6.7768092535 , 3.0281651517 , 1.6629578712 , 0.8393839313 , 0.8733677274 , 0.0607652382 , 0.3209854628 , 1.1253252225 , 0.1847944338 , -0.0318131366 , -0.1853532043 , 0.8953871317
Augmented state vector at time 0.02400: 6.7196133753 , 3.3173709850 , 1.6776864302 , 0.8402023980 , 0.9084247734 , 0.0691814359 , 0.3338455883 , 1.1371073969 , 0.1927114957 , -0.0343080465 , -0.1926216339 , 0.8904353372
Augmented state vector at time 0.02500: 6.6678936229 , 3.6038255708 , 1.6941064690 , 0.8415638585 , 0.9434268275 , 0.0779946125 , 0.3466925584 , 1.1493860200 , 0.2007542943 , -0.0368788735 , -0.1999100983 , 0.8854467165
Augmented state vector at time 0.02600: 6.6215212236 , 3.8877564237 , 1.7121827110 , 0.8434589793 , 0.9783936546 , 0.0872046902 , 0.3595344378 , 1.1621580900 , 0.2089369617 , -0.0395247958 , -0.2072267676 , 0.8804193112
Augmented state vector at time 0.02700: 6.5803730161 , 4.1693855610 , 1.7318860019 , 0.8458788845 , 1.0133445175 , 0.0968127676 , 0.3723791165 , 1.1754207226 , 0.2172735427 , -0.0422451325 , -0.2145795556 , 0.8753509795
Augmented state vector at time 0.02800: 6.5443312751 , 4.4489296592 , 1.7531930136 , 0.8488151410 , 1.0482981717 , 0.1068210771 , 0.3852343144 , 1.1891711438 , 0.2257780300 , -0.0450393370 , -0.2219761311 , 0.8702394008
Augmented state vector at time 0.02900: 6.5132835420 , 4.7266002086 , 1.7760859711 , 0.8522597429 , 1.0832728601 , 0.1172329452 , 0.3981075858 , 1.2034066813 , 0.2344643971 , -0.0479069915 , -0.2294239278 , 0.8650820791
Augmented state vector at time 0.03000: 6.4871224596 , 5.0026036657 , 1.8005524036 , 0.8562050971 , 1.1182863085 , 0.1280527571 , 0.4110063230 , 1.2181247546 , 0.2433466313 , -0.0508478006 , -0.2369301544 , 0.8598763455
Augmented state vector at time 0.03100: 6.4657456128 , 5.2771416026 , 1.8265849164 , 0.8606440082 , 1.1533557210 , 0.1392859253 , 0.4239377612 , 1.2333228647 , 0.2524387641 , -0.0538615866 , -0.2445018031 , 0.8546193609
Augmented state vector at time 0.03200: 6.4490553738 , 5.5504108535 , 1.8541809844 , 0.8655696638 , 1.1884977750 , 0.1509388603 , 0.4369089813 , 1.2489985817 , 0.2617549014 , -0.0569482839 , -0.2521456583 , 0.8493081161
Augmented state vector at time 0.03300: 6.4369587518 , 5.8226036572 , 1.8833427631 , 0.8709756201 , 1.2237286159 , 0.1630189458 , 0.4499269137 , 1.2651495327 , 0.2713092518 , -0.0601079339 , -0.2598683047 , 0.8439394330
Augmented state vector at time 0.03400: 6.4293672478 , 6.0939077961 , 1.9140769191 , 0.8768557876 , 1.2590638522 , 0.1755345160 , 0.4629983418 , 1.2817733880 , 0.2811161545 , -0.0633406803 , -0.2676761337 , 0.8385099640
Augmented state vector at time 0.03500: 6.4261967135 , 6.3645067299 , 1.9463944764 , 0.8832044171 , 1.2945185487 , 0.1884948357 , 0.4761299043 , 1.2988678460 , 0.2911901056 , -0.0666467647 , -0.2755753506 , 0.8330161913
Augmented state vector at time 0.03600: 6.4273672147 , 6.6345797257 , 1.9803106794 , 0.8900160852 , 1.3301072200 , 0.2019100833 , 0.4893280981 , 1.3164306184 , 0.3015457842 , -0.0700265218 , -0.2835719805 , 0.8274544255
Augmented state vector at time 0.03700: 6.4328028991 , 6.9043019827 , 2.0158448701 , 0.8972856804 , 1.3658438229 , 0.2157913362 , 0.5025992810 , 1.3344594131 , 0.3121980772 , -0.0734803751 , -0.2916718731 , 0.8218208035
Augmented state vector at time 0.03800: 6.4424318673 , 7.1738447514 , 2.0530203798 , 0.9050083898 , 1.4017417477 , 0.2301505578 , 0.5159496729 , 1.3529519169 , 0.3231621034 , -0.0770088329 , -0.2998807080 , 0.8161112864
Augmented state vector at time 0.03900: 6.4561860491 , 7.4433754480 , 2.0918644344 , 0.9131796845 , 1.4378138087 , 0.2450005873 , 0.5293853584 , 1.3719057772 , 0.3344532367 , -0.0806124845 , -0.3082039982 , 0.8103216563
Augmented state vector at time 0.04000: 6.4740010820 , 7.7130577633 , 2.1324080711 , 0.9217953063 , 1.4740722334 , 0.2603551311 , 0.5429122873 , 1.3913185826 , 0.3460871292 , -0.0842919958 , -0.3166470940 , 0.8044475130
Augmented state vector at time 0.04100: 6.4958161945 , 7.9830517650 , 2.1746860680 , 0.9308512540 , 1.5105286505 , 0.2762287560 , 0.5565362765 , 1.4111878424 , 0.3580797329 , -0.0880481059 , -0.3252151854 , 0.7984842708
Augmented state vector at time 0.04200: 6.5215740922 , 8.2535139951 , 2.2187368841 , 0.9403437696 , 1.5471940766 , 0.2926368843 , 0.5702630100 , 1.4315109655 , 0.3704473210 , -0.0918816231 , -0.3339133044 , 0.7924271535
Augmented state vector at time 0.04300: 6.5512208474 , 8.5245975607 , 2.2646026100 , 0.9502693247 , 1.5840789016 , 0.3095957898 , 0.5840980395 , 1.4522852374 , 0.3832065090 , -0.0957934217 , -0.3427463264 , 0.7862711906
Augmented state vector at time 0.04400: 6.5847057919 , 8.7964522188 , 2.3123289285 , 0.9606246066 , 1.6211928723 , 0.3271225958 , 0.5980467846 , 1.4735077973 , 0.3963742747 , -0.0997844383 , -0.3517189713 , 0.7800112125
Augmented state vector at time 0.04500: 6.6219814125 , 9.0692244542 , 2.3619650843 , 0.9714065048 , 1.6585450746 , 0.3452352741 , 0.6121145319 , 1.4951756130 , 0.4099679775 , -0.1038556680 , -0.3608358031 , 0.7736418450
Augmented state vector at time 0.04600: 6.6630032499 , 9.3430575519 , 2.4135638628 , 0.9826120968 , 1.6961439142 , 0.3639526451 , 0.6263064345 , 1.5172854551 , 0.4240053781 , -0.1080081618 , -0.3701012298 , 0.7671575042
Augmented state vector at time 0.04700: 6.7077297996 , 9.6180916618 , 2.4671815771 , 0.9942386347 , 1.7339970947 , 0.3832943790 , 0.6406275107 , 1.5398338704 , 0.4385046561 , -0.1122430222 , -0.3795195023 , 0.7605523910
Augmented state vector at time 0.04800: 6.7561224159 , 9.8944638573 , 2.5228780624 , 1.0062835303 , 1.7721115953 , 0.4032809975 , 0.6550826423 , 1.5628171528 , 0.4534844284 , -0.1165614007 , -0.3890947118 , 0.7538204849
Augmented state vector at time 0.04900: 6.8081452184 , 10.1723081866 , 2.5807166787 , 1.0187443417 , 1.8104936449 , 0.4239338769 , 0.6696765728 , 1.5862313147 , 0.4689637663 , -0.1209644943 , -0.3988307879 , 0.7469555378
Augmented state vector at time 0.05000: 6.8637649997 , 10.4517557170 , 2.6407643198 , 1.0316187584 , 1.8491486957 , 0.4452752513 , 0.6844139043 , 1.6100720550 , 0.4849622118 , -0.1254535418 , -0.4087314948 , 0.7399510683
Augmented state vector at time 0.05100: 6.9229511367 , 10.7329345722 , 2.7030914289 , 1.0449045866 , 1.8880813934 , 0.4673282162 , 0.6992990953 , 1.6343347274 , 0.5014997940 , -0.1300298208 , -0.4188004271 , 0.7328003546
Augmented state vector at time 0.05200: 6.9856755027 , 11.0159699618 , 2.7677720210 , 1.0585997346 , 1.9272955459 , 0.4901167330 , 0.7143364565 , 1.6590143063 , 0.5185970442 , -0.1346946445 , -0.4290410053 , 0.7254964279
Augmented state vector at time 0.05300: 7.0519123819 , 11.3009842035 , 2.8348837102 , 1.0727021973 , 1.9667940900 , 0.5136656333 , 0.7295301472 , 1.6841053514 , 0.5362750103 , -0.1394493578 , -0.4394564696 , 0.7180320659
Augmented state vector at time 0.05400: 7.1216383852 , 11.5880967375 , 2.9045077437 , 1.0872100410 , 2.0065790546 , 0.5380006233 , 0.7448841710 , 1.7096019707 , 0.5545552708 , -0.1442953344 , -0.4500498736 , 0.7103997859
