Augmented state vector at time 0.02200: -0.3098440814 , -1.1289902407 , 1.8351531530 , 0.8383244300 , 0.8342018792 , -0.0214051794 , 0.3098432271 , 1.1289775617 , -0.0072627812 , 0.0003738620 , 0.0033911965 , 0.9157527193
Augmented state vector at time 0.02300: -0.3229450440 , -1.1415133025 , 1.8281856783 , 0.8385401832 , 0.8695347618 , -0.0225386077 , 0.3229439832 , 1.1414981895 , -0.0079507351 , 0.0004241481 , 0.0036940218 , 0.9120954543
Augmented state vector at time 0.02400: -0.3360412502 , -1.1545912635 , 1.8212650670 , 0.8393132378 , 0.9048588526 , -0.0237015422 , 0.3360399447 , 1.1545733773 , -0.0086740396 , 0.0004785439 , 0.0040095677 , 0.9084525761
Augmented state vector at time 0.02500: -0.3491415795 , -1.1682237217 , 1.8143916558 , 0.8406347980 , 0.9401979491 , -0.0248959077 , 0.3491399863 , 1.1682026911 , -0.0094336011 , 0.0005371865 , 0.0043379118 , 0.9048240083
Augmented state vector at time 0.02600: -0.3622547672 , -1.1824106538 , 1.8075658123 , 0.8424965827 , 0.9755754652 , -0.0261236518 , 0.3622528378 , 1.1823860731 , -0.0102303867 , 0.0006002125 , 0.0046791457 , 0.9012096740
Augmented state vector at time 0.02700: -0.3753894123 , -1.1971524087 , 1.8007879351 , 0.8448908108 , 1.0110144533 , -0.0273867494 , 0.3753870922 , 1.1971238360 , -0.0110654241 , 0.0006677576 , 0.0050333754 , 0.8976094954
Augmented state vector at time 0.02800: -0.3885539861 , -1.2124497017 , 1.7940584541 , 0.8478101878 , 1.0465376250 , -0.0286872067 , 0.3885512144 , 1.2124166568 , -0.0119398033 , 0.0007399573 , 0.0054007205 , 0.8940233940
Augmented state vector at time 0.02900: -0.4017568394 , -1.2283036094 , 1.7873778311 , 0.8512478931 , 1.0821673720 , -0.0300270660 , 0.4017535482 , 1.2282655708 , -0.0128546767 , 0.0008169471 , 0.0057813144 , 0.8904512904
Augmented state vector at time 0.03000: -0.4150062107 , -1.2447155638 , 1.7807465604 , 0.8551975672 , 1.1179257857 , -0.0314084093 , 0.4150023244 , 1.2446719666 , -0.0138112610 , 0.0008988623 , 0.0061753036 , 0.8868931045
Augmented state vector at time 0.03100: -0.4283102328 , -1.2616873479 , 1.7741651694 , 0.8596533000 , 1.1538346769 , -0.0328333630 , 0.4283056680 , 1.2616375811 , -0.0148108378 , 0.0009858385 , 0.0065828478 , 0.8833487552
